userid,display_name,fullname,aaptwa,aaptwa_left,advanced_em,advanced_em_left,advanced_mechanics,advanced_mechanics_left,advanced_quantum,advanced_quantum_left,advanced_thermal,advanced_thermal_left,alpha_bfy3_conference,alpha_bfy3_conference_left,beatingthespread,beatingthespread_left,capstone_conference,capstone_conference_left,chicago_area,chicago_area_left,chicagoland_region,chicagoland_region_left,classroom_activities,classroom_activities_left,classroom_pedagogy,classroom_pedagogy_left,comp_physics_course,comp_physics_course_left,fdw2017-group8,fdw2017-group8_left,fdw2018_group7,fdw2018_group7_left,fdw2018_presentations,fdw2018_presentations_left,fdw2019_advanced_lab,fdw2019_advanced_lab_left,general,general_left,gillians_2019_group,gillians_2019_group_left,github_classroom,github_classroom_left,glowscript,glowscript_left,hackathon,hackathon_left,intro_em,intro_em_left,intro_mechanics,intro_mechanics_left,introexercises,introexercises_left,jupyter,jupyter_left,localdevelopment,localdevelopment_left,localpartners,localpartners_left,lotus123-fdw2019,lotus123-fdw2019_left,machine_learning,machine_learning_left,mathematica,mathematica_left,matlab_octave,matlab_octave_left,methodstoourmadness,methodstoourmadness_left,michigan_folks,michigan_folks_left,modern_physics,modern_physics_left,morningrunninggroup,morningrunninggroup_left,neofollowup,neofollowup_left,neoplanning,neoplanning_left,neoprecis,neoprecis_left,non-picup-work,non-picup-work_left,picuplocalproject,picuplocalproject_left,picuppokemon,picuppokemon_left,python_slayers,python_slayers_left,quantum_information_science,quantum_information_science_left,random,random_left,resources_tab_website,resources_tab_website_left,sagemath,sagemath_left,socal,socal_left,sympy,sympy_left,taylor-couette,taylor-couette_left,texaspostscript,texaspostscript_left,todds_2017_group,todds_2017_group_left,todds_2018_fdw_group,todds_2018_fdw_group_left,trinket,trinket_left,upper_div_labs,upper_div_labs_left,uppermidwest,uppermidwest_left,uppermidwestprep,uppermidwestprep_left,visualization,visualization_left,vpython7,vpython7_left,whywedothis,whywedothis_left
U4L8L347M,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489836615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1493473503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489836615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1492420214,NA,NA,NA,NA,NA,NA,NA,NA,NA
U4LEWCMBK,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490048629,NA,1490048664,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490048528,NA,NA,NA,NA,NA,NA,NA,1490048619,NA,1490048681,NA,1490048674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490048528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U4LPDPNM9,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573639880,NA,NA,NA,NA,NA,NA,NA,NA,NA,1574037672,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490010161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1599658944,NA,NA,NA,1531942545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490010160,NA,NA,NA,NA,NA,NA,NA,1531687876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1531942966,NA
U4M2X0HRD,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489856070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1495382837,NA,NA,NA,NA,NA,NA,NA,1489856070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1492420731,NA,NA,NA,NA,NA,NA,NA,NA,NA
U4M7UH1QW,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489957655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489957655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1492420731,NA,NA,NA,NA,NA,NA,NA,NA,NA
U4M8R5600,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573639314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490173154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490173154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U4N910YF8,,,NA,NA,1491380421,NA,1491393319,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573639880,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490996700,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490108712,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491380609,NA,1491393342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490108711,NA,1534856007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U4N9PL0H2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490198189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490198189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U4NKMDWF9,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573639881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490168947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490168947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1492420214,NA,NA,NA,NA,NA,NA,NA,NA,NA
U4PL0CRNG,,,NA,NA,NA,NA,NA,NA,1490396837,NA,NA,NA,NA,NA,NA,NA,1573639312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490396508,NA,NA,NA,NA,NA,1579701984,NA,NA,NA,NA,NA,NA,NA,1505168045,NA,1515550153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490396508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
